dose_uM,n_committed,n_wells,mean_time_above_pct,mean_stress,stress_cv,commitment_fraction
0.1,0,4,0.0,0.3225212533573458,0.4140034453888923,0.0
0.1519911082952934,0,4,5.0,0.3799004010002237,0.4629953035355377,0.0
0.2310129700083159,0,4,50.0,0.43466557410677387,0.5844813551324958,0.0
0.3511191734215131,0,4,50.0,0.4619645409158426,0.7525655327408671,0.0
0.533669923120631,0,4,50.0,0.47956582409380266,0.8948261487751044,0.0
0.8111308307896873,1,4,50.0,0.4855176080040335,0.9550139756322222,0.25
1.232846739442066,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
1.873817422860384,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
2.848035868435802,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
4.328761281083059,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
6.5793322465756825,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
10.0,0,4,50.0,0.4857142857142857,0.9557692240748187,0.0
